headline,publication_date,news_source,sector,sentiment_label,market_impact
Telecom sector FDI inflows at 3096 million USD in April-Jan FY23,2022-01-01 00:00:00.000000000,CNBC TV18,Telecom,Neutral,Neutral
India forex reserves hit 2098 billion USD as RBI intervention stabilises rupee,2022-01-01 05:15:25.385077015,CNBC TV18,BFSI,Positive,Bullish
"IT majors TCS, Infosys report strong deal wins; sector outlook upgraded to 'Buy'",2022-01-01 10:30:50.770154030,CNBC TV18,FMCG,Positive,Bullish
India current account deficit widens to 15.1% of GDP in Q4 FY24,2022-01-01 15:46:16.155231046,Economic Times,IT Services,Negative,Bearish
Credit card defaults surge 26.0% YoY; RBI flags retail lending risks,2022-01-01 21:01:41.540308061,Business Standard,FMCG,Negative,Bearish
NSE updates margin framework for equity derivatives from Dec onwards,2022-01-02 02:17:06.925385077,CNBC TV18,Metals & Mining,Neutral,Neutral
Reliance Industries profit warning: EBITDA margins to decline 10.6% on high input costs,2022-01-02 07:32:32.310462092,Reuters India,Telecom,Negative,Bearish
Finance Ministry reviews PLI scheme performance across 12 key sectors,2022-01-02 12:47:57.695539107,Economic Times,Energy,Neutral,Neutral
Pharma sector EBITDA margins expand QoQ amid easing input cost pressures,2022-01-02 18:03:23.080616123,MoneyControl,Pharma,Positive,Bullish
RBI hikes repo rate by 25 bps amid persistent core inflation concerns,2022-01-02 23:18:48.465693138,Mint,Telecom,Negative,Bearish
NCLAT hears HDFC Life insolvency appeal; next hearing scheduled for May,2022-01-03 04:34:13.850770154,Reuters India,Telecom,Neutral,Neutral
Credit card defaults surge 35.2% YoY; RBI flags retail lending risks,2022-01-03 09:49:39.235847169,MoneyControl,Pharma,Negative,Bearish
"Nifty 50 hits record 640 as broad-based rally lifts mid-cap, small-cap indices",2022-01-03 15:05:04.620924184,Business Standard,Auto,Positive,Bullish
"Nifty 50 hits record 498 as broad-based rally lifts mid-cap, small-cap indices",2022-01-03 20:20:30.006001200,Reuters India,Infrastructure,Positive,Bullish
FII outflows drag Sensex 1186 points lower; rupee slips to 85.96 per USD,2022-01-04 01:35:55.391078215,Economic Times,BFSI,Negative,Bearish
"Nifty 50 hits record 362 as broad-based rally lifts mid-cap, small-cap indices",2022-01-04 06:51:20.776155231,Reuters India,Energy,Positive,Bullish
"Bank of Baroda Q2 net profit surges 13.1%, beats Bloomberg analyst estimates",2022-01-04 12:06:46.161232246,CNBC TV18,Pharma,Positive,Bullish
SEBI approves simplified IPO norms; Dalal Street cheers listing reforms,2022-01-04 17:22:11.546309261,Reuters India,Auto,Positive,Bullish
"India GDP growth accelerates to 31.1% in Q4, ahead of IMF projections",2022-01-04 22:37:36.931386277,Mint,IT Services,Positive,Bullish
RBI hikes repo rate by 50 bps amid persistent services inflation concerns,2022-01-05 03:53:02.316463292,Business Standard,Real Estate,Negative,Bearish
RBI monetary policy committee holds repo rate at 6.91%; next review in Apr,2022-01-05 09:08:27.701540308,Business Standard,Real Estate,Neutral,Neutral
RBI hikes repo rate by 25 bps amid persistent energy inflation concerns,2022-01-05 14:23:53.086617323,CNBC TV18,BFSI,Negative,Bearish
IndusInd Bank board rejects merger proposal; institutional investors express concern,2022-01-05 19:39:18.471694338,Financial Express,Real Estate,Negative,Bearish
Real Estate sector faces GST scrutiny; ₹1759 Cr ITC claims flagged by CBIC,2022-01-06 00:54:43.856771354,Economic Times,Real Estate,Negative,Bearish
Kotak Mahindra upgrades credit outlook to 'Stable'; Moody's cites strong capital buffers,2022-01-06 06:10:09.241848369,Mint,Metals & Mining,Positive,Bullish
SEBI board meets to review derivative market norms for Q3 FY23,2022-01-06 11:25:34.626925385,CNBC TV18,Metals & Mining,Neutral,Neutral
RBI monetary policy committee holds repo rate at 6.6%; next review in Apr,2022-01-06 16:41:00.012002400,Reuters India,FMCG,Neutral,Neutral
Finance Ministry reviews PLI scheme performance across 8 key sectors,2022-01-06 21:56:25.397079415,BloombergQuint,Auto,Neutral,Neutral
Auto sector faces GST scrutiny; ₹2542 Cr ITC claims flagged by CBIC,2022-01-07 03:11:50.782156431,MoneyControl,Auto,Negative,Bearish
SEBI board meets to review derivative market norms for Q2 FY22,2022-01-07 08:27:16.167233446,Economic Times,BFSI,Neutral,Neutral
RBI releases draft guidelines on digital lending regulations for public comment,2022-01-07 13:42:41.552310462,CNBC TV18,IT Services,Neutral,Neutral
India current account deficit widens to 27.5% of GDP in Q1 FY22,2022-01-07 18:58:06.937387477,Reuters India,BFSI,Negative,Bearish
RBI monetary policy committee holds repo rate at 7.02%; next review in Mar,2022-01-08 00:13:32.322464492,MoneyControl,Metals & Mining,Neutral,Neutral
RBI releases draft guidelines on digital lending regulations for public comment,2022-01-08 05:28:57.707541508,Financial Express,Real Estate,Neutral,Neutral
NSE updates margin framework for equity derivatives from Aug onwards,2022-01-08 10:44:23.092618523,Mint,Energy,Neutral,Neutral
Credit card defaults surge 6.7% YoY; RBI flags retail lending risks,2022-01-08 15:59:48.477695539,CNBC TV18,Telecom,Negative,Bearish
FII outflows drag Sensex 409 points lower; rupee slips to 84.83 per USD,2022-01-08 21:15:13.862772554,MoneyControl,Auto,Negative,Bearish
"RBI keeps repo rate unchanged, signals accommodative stance for Q4 FY24",2022-01-09 02:30:39.247849569,Reuters India,IT Services,Positive,Bullish
Punjab National Bank NPA ratio rises to 19.4% in Q1; provisions surge QoQ,2022-01-09 07:46:04.632926585,BloombergQuint,IT Services,Negative,Bearish
"Punjab National Bank Q2 net profit surges 33.2%, beats Bloomberg analyst estimates",2022-01-09 13:01:30.018003600,MoneyControl,Pharma,Positive,Bullish
GST collections cross ₹3086 Cr for Septh consecutive month,2022-01-09 18:16:55.403080616,BloombergQuint,Real Estate,Positive,Bullish
"Yes Bank Q4 net profit surges 4.9%, beats Bloomberg analyst estimates",2022-01-09 23:32:20.788157631,Reuters India,Energy,Positive,Bullish
Axis Bank announces rights issue at ₹184 per share; record date set,2022-01-10 04:47:46.173234646,Reuters India,FMCG,Neutral,Neutral
GST collections cross ₹2727 Cr for Janth consecutive month,2022-01-10 10:03:11.558311662,Mint,Metals & Mining,Positive,Bullish
"UPI transaction volume crosses 4361 Cr in Sep, new all-time high",2022-01-10 15:18:36.943388677,Economic Times,BFSI,Positive,Bullish
India WPI inflation prints at 5.5% for Feb; IIP data due next week,2022-01-10 20:34:02.328465693,Mint,BFSI,Neutral,Neutral
Zomato profit warning: EBITDA margins to decline 8.0% on high input costs,2022-01-11 01:49:27.713542708,CNBC TV18,Telecom,Negative,Bearish
Nykaa profit warning: EBITDA margins to decline 6.7% on high input costs,2022-01-11 07:04:53.098619723,Economic Times,Auto,Negative,Bearish
